designation,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,in_dr2,in_meingast,in_roser,mean_pmem,fit_group
Gaia DR2 3282226793722500224,69.434193,4.901887,21.097811,95.147191,10.153903,,2.710,13.522,True,,True,0.9997,tails
Gaia DR2 45679386670867584,63.091246,16.250812,28.057567,153.050305,-32.237479,,2.786,12.684,True,,True,0.9997,tails
Gaia DR2 45506454107945344,62.488735,16.378139,28.911104,158.023936,-29.391989,,3.513,15.554,True,,True,0.9994,tails
Gaia DR2 3412374060957023232,74.025851,21.897814,17.007163,67.560652,-38.355461,,3.328,16.193,True,,True,0.9997,tails
Gaia DR2 3412367287795107712,74.362516,22.017346,18.341940,68.531843,-39.283714,,3.231,16.414,True,,True,0.9990,tails
Gaia DR2 3395180718459278464,78.878189,17.431577,17.707590,56.312227,-29.887024,,3.358,15.966,True,,True,0.9997,tails
Gaia DR2 3395264423077925632,78.714192,17.787029,17.602923,54.276757,-27.363508,16.515,2.296,13.500,True,,True,0.0000,tails
Gaia DR2 3281410509417809152,70.445316,4.436742,23.584581,105.740684,11.199019,,2.527,12.926,True,,True,0.9997,tails
Gaia DR2 3281064262038614912,71.578710,3.636394,22.143765,93.365760,13.294607,41.770,1.558,10.391,True,True,True,1.0000,tails
Gaia DR2 3411856775094435968,72.093918,20.861876,17.902402,76.415844,-37.173735,,4.252,17.253,True,,,0.9997,tails
Gaia DR2 3411781729134007424,72.124298,20.445914,16.160041,68.706367,-33.992837,,3.257,16.066,True,,True,0.9995,tails
Gaia DR2 3411758128287351808,73.812204,21.363892,16.745271,65.837324,-36.272881,,3.021,15.268,True,,True,0.9998,tails
Gaia DR2 3409356726172456960,70.137904,18.028270,16.737684,75.114260,-24.632042,,3.228,16.067,True,,True,0.9996,tails
Gaia DR2 3409207536188836352,75.774256,21.589785,18.419357,68.240910,-41.318670,,0.211,4.555,True,,True,0.9995,tails
Gaia DR2 3409379060002199168,71.118543,17.852976,17.073326,73.502497,-26.633633,,2.875,14.569,True,,True,0.9997,tails
Gaia DR2 3391904178104504704,77.214947,14.253054,25.552508,87.868708,-27.961741,,4.102,16.893,True,,True,0.9996,tails
Gaia DR2 57406365376348928,54.780562,20.423915,28.000716,186.450268,-39.485204,,2.927,13.629,True,,True,0.9996,tails
Gaia DR2 3287041726938931968,66.321185,8.067750,28.813889,146.145701,2.685559,,2.886,13.440,True,,True,0.9995,tails
Gaia DR2 3407121831350730112,76.575247,17.816282,18.604121,64.451585,-31.283171,42.590,0.894,8.620,True,True,True,1.0000,tails
Gaia DR2 3288997483247358592,71.975577,7.370718,17.368165,73.685395,1.090373,,3.047,15.193,True,,True,0.9998,tails
Gaia DR2 3288784006192725248,71.827577,6.453231,24.635215,105.534751,5.453961,41.412,1.767,10.689,True,True,True,1.0000,tails
Gaia DR2 3230836376154368384,70.616601,0.727249,20.895871,95.558389,20.664556,,3.912,17.299,True,,,0.9986,tails
Gaia DR2 3391170490315215104,81.300116,16.516452,19.195012,52.421119,-28.010907,,3.184,15.415,True,,True,0.9995,tails
